trans_id,account_from,account_id,account_to,amount,date,merchant_type,new_balance,operation
42,,3,,64.25,2015-06-25,Transfer to Account,1771.11,deposit
43,,4,,50.98,2015-06-25,Transfer from Account,4815.6,withdrawal
44,,3,,74.65,2015-06-27,Income,1845.76,deposit
45,,4,Coles,56.08,2015-06-27,Fuel,4759.52,withdrawal
46,,4,,52.34,2015-06-28,Uncategorised,4707.18,withdrawal
47,,3,Woolworths,15.4,2015-06-30,Groceries,1830.36,withdrawal
48,,2,,61.42,2015-07-01,Transfer to Account,1677.2,deposit
49,,2,,17.72,2015-07-01,Transfer from Account,1659.48,withdrawal
50,,2,,98.11,2015-07-01,Uncategorised,1561.37,withdrawal
51,,1,IGA,74.79,2015-07-01,Groceries,4626.69,withdrawal
52,,4,,32.88,2015-07-02,Transfer from Account,4674.3,withdrawal
53,,1,Lowes,45.11,2015-07-03,Shopping,4581.58,withdrawal
54,,2,,23.72,2015-07-04,Transfer from Account,1537.65,withdrawal
55,,3,Coles,78.27,2015-07-06,Fuel,1752.09,withdrawal
56,,2,,73.82,2015-07-08,Transfer from Account,1463.83,withdrawal
57,,3,,34.2,2015-07-09,Uncategorised,1717.89,withdrawal
58,,3,,15.39,2015-07-09,Transfer to Account,1733.28,deposit
59,,4,Shell,81.15,2015-07-09,Fuel,4593.15,withdrawal
60,,2,,53.9,2015-07-09,Transfer to Account,1517.73,deposit
61,,4,Myer,78.06,2015-07-11,Shopping,4515.09,withdrawal
62,,2,EB Games,96.91,2015-07-12,Entertainment,1420.82,withdrawal
63,,3,EB Games,46.65,2015-07-14,Entertainment,1686.63,withdrawal
64,,2,,96.94,2015-07-15,Uncategorised,1323.88,withdrawal
65,,4,Coles,90.63,2015-07-17,Groceries,4424.46,withdrawal
66,,4,Coles,66.72,2015-07-17,Fuel,4357.74,withdrawal
67,,1,,25.83,2015-07-17,Income,4607.41,deposit
68,,4,,15.21,2015-07-19,Uncategorised,4342.53,withdrawal
69,,2,Kmart,63.26,2015-07-22,Shopping,1260.62,withdrawal
70,,2,,13.19,2015-07-24,Transfer to Account,1273.81,deposit
71,,3,,36.09,2015-07-24,Uncategorised,1650.54,withdrawal
72,,2,Red Rooster,12.86,2015-07-25,Food,1260.95,withdrawal
73,,4,Target,8.18,2015-07-26,Shopping,4334.35,withdrawal
74,,2,,84.59,2015-07-26,Income,1345.54,deposit
75,,1,JBHiFi,25.44,2015-07-27,Entertainment,4581.97,withdrawal
76,,4,,84.98,2015-07-28,Income,4419.33,deposit
77,,4,,26.66,2015-07-28,Transfer from Account,4392.67,withdrawal
78,,3,JBHiFi,56.48,2015-08-01,Entertainment,1594.06,withdrawal
79,,3,IGA,55.5,2015-08-01,Groceries,1538.56,withdrawal
80,,3,Shell,22.39,2015-08-01,Fuel,1516.17,withdrawal
81,,4,KFC,92.46,2015-08-03,Food,4300.21,withdrawal
82,,1,Hungry Jacks,26.48,2015-08-04,Food,4555.49,withdrawal
83,,3,,79.05,2015-08-05,Uncategorised,1437.12,withdrawal
84,,1,,49.87,2015-08-08,Income,4605.36,deposit
85,,2,,8.51,2015-08-09,Income,1354.05,deposit
86,,3,711,32.99,2015-08-12,Fuel,1404.13,withdrawal
87,,3,EB Games,32.07,2015-08-13,Entertainment,1372.06,withdrawal
88,,4,,53.25,2015-08-13,Transfer to Account,4353.46,deposit
89,,1,Woolworths,73.63,2015-08-14,Groceries,4531.73,withdrawal
90,,2,,36.14,2015-08-19,Income,1390.19,deposit
91,,4,,93.87,2015-08-22,Transfer from Account,4259.59,withdrawal
92,,2,Coles,91.04,2015-08-24,Fuel,1299.15,withdrawal
93,,4,,70.19,2015-08-25,Uncategorised,4189.4,withdrawal
94,,1,EB Games,19.32,2015-08-26,Entertainment,4512.41,withdrawal
95,,4,Priceline Pharmacy,43.39,2015-08-27,Health,4146.01,withdrawal
96,,3,Priceline Pharmacy,24.87,2015-08-27,Health,1347.19,withdrawal
97,,1,,58.15,2015-08-28,Transfer to Account,4570.56,deposit
98,,4,,12.24,2015-08-31,Income,4158.25,deposit
99,,1,KFC,80.72,2015-08-31,Food,4489.84,withdrawal
100,,4,,16.48,2015-09-01,Uncategorised,4141.77,withdrawal
101,,4,IGA,12.07,2015-09-01,Groceries,4129.7,withdrawal
102,,2,Target,55.28,2015-09-01,Shopping,1243.87,withdrawal
103,,2,,21.69,2015-09-03,Transfer from Account,1222.18,withdrawal
104,,1,Hungry Jacks,86.57,2015-09-04,Food,4403.27,withdrawal
105,,4,Coles,86.98,2015-09-05,Fuel,4042.72,withdrawal
106,,4,Red Rooster,69.8,2015-09-05,Food,3972.92,withdrawal
107,,4,KFC,80.54,2015-09-06,Food,3892.38,withdrawal
108,,3,Priceline Pharmacy,59.8,2015-09-08,Health,1287.39,withdrawal
109,,2,,4.19,2015-09-14,Transfer from Account,1217.99,withdrawal
110,,1,IGA,15.66,2015-09-14,Groceries,4387.61,withdrawal
111,,3,,33.95,2015-09-16,Income,1321.34,deposit
112,,2,,74.23,2015-09-18,Income,1292.22,deposit
113,,3,Priceline Pharmacy,95.71,2015-09-19,Health,1225.63,withdrawal
114,,2,711,28.73,2015-09-21,Fuel,1263.49,withdrawal
115,,3,,53.96,2015-09-21,Transfer to Account,1279.59,deposit
116,,1,,18.72,2015-09-21,Transfer from Account,4368.89,withdrawal
117,,2,KFC,96.27,2015-09-23,Food,1167.22,withdrawal
118,,4,McDonalds,58.28,2015-09-24,Food,3834.1,withdrawal
119,,5,,95.18,2015-09-24,Income,2238.72,deposit
120,,3,,86.84,2015-09-24,Transfer from Account,1192.75,withdrawal
121,,3,,21.53,2015-09-25,Transfer from Account,1171.22,withdrawal
122,,2,JBHiFi,35.05,2015-09-25,Entertainment,1132.17,withdrawal
123,,1,Aldi,84.93,2015-09-25,Groceries,4283.96,withdrawal
124,,4,Priceline Pharmacy,80.93,2015-09-29,Health,3753.17,withdrawal
125,,3,,75.37,2015-09-29,Transfer to Account,1246.59,deposit
126,,3,,98.36,2015-10-03,Transfer from Account,1148.23,withdrawal
127,,5,Hungry Jacks,66.11,2015-10-04,Food,2172.61,withdrawal
128,,5,Target,64.8,2015-10-05,Shopping,2107.81,withdrawal
129,,4,McDonalds,10.31,2015-10-06,Food,3742.86,withdrawal
130,,1,,55.8,2015-10-06,Uncategorised,4228.16,withdrawal
131,,2,Lowes,49.69,2015-10-08,Shopping,1082.48,withdrawal
132,,3,Shell,38.89,2015-10-09,Fuel,1109.34,withdrawal
133,,2,711,19.34,2015-10-12,Fuel,1063.14,withdrawal
134,,5,Coles,99.76,2015-10-13,Fuel,2008.05,withdrawal
135,,1,Red Rooster,90.7,2015-10-16,Food,4137.46,withdrawal
136,,3,,91.33,2015-10-17,Transfer to Account,1200.67,deposit
137,,4,Caltex,56.8,2015-10-18,Fuel,3686.06,withdrawal
138,,5,Woolworths,26.95,2015-10-19,Groceries,1981.1,withdrawal
139,,4,Priceline Pharmacy,27.55,2015-10-19,Health,3658.51,withdrawal
140,,3,,44.64,2015-10-20,Transfer from Account,1156.03,withdrawal
141,,5,JBHiFi,74.72,2015-10-21,Entertainment,1906.38,withdrawal
142,,5,,57.87,2015-10-22,Uncategorised,1848.51,withdrawal
143,,2,Woolworths,78.28,2015-10-25,Groceries,984.86,withdrawal
144,,1,Coles,46.54,2015-10-27,Groceries,4090.92,withdrawal
145,,3,EB Games,47.98,2015-10-28,Entertainment,1108.05,withdrawal
146,,1,Coles,89.44,2015-10-28,Groceries,4001.48,withdrawal
147,,2,711,15.29,2015-10-28,Fuel,969.57,withdrawal
148,,6,Caltex,31.87,2015-10-30,Fuel,6989.86,withdrawal
149,,2,KFC,44.59,2015-10-30,Food,924.98,withdrawal
150,,3,Coles,92.4,2015-10-31,Groceries,1015.65,withdrawal
151,,1,Chemist Warehouse,70.74,2015-11-03,Health,3930.74,withdrawal
152,,5,Red Rooster,88.84,2015-11-05,Food,1759.67,withdrawal
153,,1,Coles,33.29,2015-11-06,Groceries,3897.45,withdrawal
154,,4,Hungry Jacks,31.93,2015-11-06,Food,3626.58,withdrawal
155,,4,EB Games,75.99,2015-11-07,Entertainment,3550.59,withdrawal
156,,2,Myer,89.14,2015-11-08,Shopping,835.84,withdrawal
157,,4,,2.77,2015-11-08,Transfer from Account,3547.82,withdrawal
158,,4,,49.79,2015-11-11,Uncategorised,3498.03,withdrawal
159,,1,,52.57,2015-11-13,Uncategorised,3844.88,withdrawal
160,,2,,65.77,2015-11-15,Transfer to Account,901.61,deposit
161,,5,JBHiFi,72.77,2015-11-15,Entertainment,1686.9,withdrawal
162,,6,Event Cinemas,73.83,2015-11-16,Entertainment,6916.03,withdrawal
163,,6,Woolworths,99.23,2015-11-16,Groceries,6816.8,withdrawal
164,,5,,74.59,2015-11-16,Uncategorised,1612.31,withdrawal
165,,4,Woolworths,99.35,2015-11-19,Groceries,3398.68,withdrawal
166,,6,,65.72,2015-11-19,Transfer from Account,6751.08,withdrawal
167,,6,Woolworths,31.75,2015-11-20,Groceries,6719.33,withdrawal
168,,2,Red Rooster,97.59,2015-11-21,Food,804.02,withdrawal
169,,2,,94.96,2015-11-23,Transfer from Account,709.06,withdrawal
170,,5,Hungry Jacks,77.76,2015-11-23,Food,1534.55,withdrawal
171,,6,Woolworths,9.59,2015-11-24,Groceries,6709.74,withdrawal
172,,7,Aldi,15.49,2015-11-24,Groceries,6084.25,withdrawal
173,,3,Hungry Jacks,12.75,2015-11-25,Food,1002.9,withdrawal
174,,1,,48.95,2015-11-25,Income,3893.83,deposit
175,,3,JBHiFi,66.0,2015-11-26,Entertainment,936.9,withdrawal
176,,2,,95.93,2015-11-26,Transfer from Account,613.13,withdrawal
177,,6,,23.0,2015-11-26,Transfer from Account,6686.74,withdrawal
178,,6,Coles,23.71,2015-11-26,Groceries,6663.03,withdrawal
179,,1,,61.95,2015-11-27,Transfer from Account,3831.88,withdrawal
180,,3,,90.79,2015-11-28,Uncategorised,846.11,withdrawal
181,,3,711,99.92,2015-11-28,Fuel,746.19,withdrawal
182,,3,,35.4,2015-11-29,Transfer from Account,710.79,withdrawal
183,,6,,84.67,2015-11-29,Uncategorised,6578.36,withdrawal
184,,6,,69.62,2015-12-01,Income,6647.98,deposit
185,,4,Lowes,48.81,2015-12-02,Shopping,3349.87,withdrawal
186,,6,,77.53,2015-12-04,Transfer to Account,6725.51,deposit
187,,6,Red Rooster,85.47,2015-12-05,Food,6640.04,withdrawal
188,,3,JBHiFi,49.16,2015-12-06,Entertainment,661.63,withdrawal
189,,7,JBHiFi,12.99,2015-12-06,Entertainment,6071.26,withdrawal
190,,3,Coles,69.18,2015-12-06,Groceries,592.45,withdrawal
191,,1,Myer,46.46,2015-12-06,Shopping,3785.42,withdrawal
192,,8,Big W,16.8,2015-12-07,Shopping,1436.69,withdrawal
193,,6,Woolworths,41.33,2015-12-08,Groceries,6598.71,withdrawal
194,,1,Caltex,79.85,2015-12-09,Fuel,3705.57,withdrawal
195,,5,JBHiFi,58.73,2015-12-10,Entertainment,1475.82,withdrawal
196,,6,,84.73,2015-12-12,Uncategorised,6513.98,withdrawal
197,,4,,69.48,2015-12-12,Uncategorised,3280.39,withdrawal
198,,2,Chemist Warehouse,58.92,2015-12-12,Health,554.21,withdrawal
199,,4,,34.2,2015-12-12,Transfer from Account,3246.19,withdrawal
200,,6,,34.06,2015-12-13,Transfer from Account,6479.92,withdrawal
201,,2,,73.86,2015-12-14,Uncategorised,480.35,withdrawal
202,,3,JBHiFi,59.9,2015-12-14,Entertainment,532.55,withdrawal
203,,5,,36.5,2015-12-14,Transfer from Account,1439.32,withdrawal
204,,6,Aldi,54.73,2015-12-15,Groceries,6425.19,withdrawal
205,,8,Caltex,1.63,2015-12-15,Fuel,1435.06,withdrawal
206,,5,Red Rooster,45.12,2015-12-16,Food,1394.2,withdrawal
207,,5,Kmart,61.36,2015-12-16,Shopping,1332.84,withdrawal
208,,2,EB Games,80.62,2015-12-17,Entertainment,399.73,withdrawal
209,,8,JBHiFi,95.19,2015-12-18,Entertainment,1339.87,withdrawal
210,,5,Shell,9.96,2015-12-20,Fuel,1322.88,withdrawal
211,,5,Priceline Pharmacy,2.15,2015-12-20,Health,1320.73,withdrawal
212,,2,,31.42,2015-12-21,Transfer to Account,431.15,deposit
213,,4,Priceline Pharmacy,85.41,2015-12-21,Health,3160.78,withdrawal
214,,5,,15.31,2015-12-21,Transfer from Account,1305.42,withdrawal
215,,1,EB Games,26.76,2015-12-22,Entertainment,3678.81,withdrawal
216,,6,Coles,22.66,2015-12-22,Groceries,6402.53,withdrawal
217,,2,,43.4,2015-12-23,Income,474.55,deposit
218,,6,Priceline Pharmacy,24.41,2015-12-24,Health,6378.12,withdrawal
219,,3,KFC,24.71,2015-12-24,Food,507.84,withdrawal
220,,8,Target,88.58,2015-12-24,Shopping,1251.29,withdrawal
221,,7,Hungry Jacks,38.78,2015-12-24,Food,6032.48,withdrawal
222,,8,,11.85,2015-12-25,Transfer from Account,1239.44,withdrawal
223,,2,Red Rooster,64.88,2015-12-25,Food,409.67,withdrawal
224,,7,Big W,12.71,2015-12-26,Shopping,6019.77,withdrawal
225,,8,JBHiFi,72.97,2015-12-27,Entertainment,1166.47,withdrawal
226,,3,JBHiFi,91.73,2015-12-29,Entertainment,416.11,withdrawal
227,,5,Caltex,62.84,2015-12-29,Fuel,1242.58,withdrawal
228,,1,Hungry Jacks,83.76,2015-12-29,Food,3595.05,withdrawal
229,,7,,49.93,2015-12-30,Transfer to Account,6069.7,deposit
230,,3,Aldi,44.65,2015-12-31,Groceries,371.46,withdrawal
231,,6,Kmart,45.68,2015-12-31,Shopping,6332.44,withdrawal
232,,5,,98.76,2015-12-31,Uncategorised,1143.82,withdrawal
233,,7,,98.13,2016-01-03,Income,6167.83,deposit
234,,9,Hungry Jacks,3.45,2016-01-04,Food,6260.61,withdrawal
235,,2,,70.32,2016-01-05,Income,479.99,deposit
236,,8,Shell,51.55,2016-01-05,Fuel,1114.92,withdrawal
237,,4,IGA,30.38,2016-01-06,Groceries,3130.4,withdrawal
238,,1,Chemist Warehouse,27.37,2016-01-06,Health,3567.68,withdrawal
239,,5,,92.92,2016-01-06,Income,1236.74,deposit
240,,3,,12.22,2016-01-06,Uncategorised,359.24,withdrawal
241,,2,Lowes,1.02,2016-01-06,Shopping,478.97,withdrawal
242,,2,,22.55,2016-01-08,Transfer to Account,501.52,deposit
243,,4,McDonalds,47.99,2016-01-08,Food,3082.41,withdrawal
244,,6,,95.88,2016-01-09,Transfer to Account,6428.32,deposit
245,,8,,96.53,2016-01-09,Transfer from Account,1018.39,withdrawal
246,,1,,58.04,2016-01-10,Transfer to Account,3625.72,deposit
247,,5,,19.17,2016-01-10,Income,1255.91,deposit
248,,3,,78.48,2016-01-11,Transfer from Account,280.76,withdrawal
249,,3,,64.14,2016-01-11,Income,344.9,deposit
250,,4,EB Games,46.83,2016-01-11,Entertainment,3035.58,withdrawal
251,,8,McDonalds,63.7,2016-01-12,Food,954.69,withdrawal
252,,4,,51.48,2016-01-12,Income,3087.06,deposit
253,,9,711,18.89,2016-01-12,Fuel,6241.72,withdrawal
254,,9,JBHiFi,76.06,2016-01-13,Entertainment,6165.66,withdrawal
255,,5,Priceline Pharmacy,33.12,2016-01-14,Health,1222.79,withdrawal
256,,5,JBHiFi,42.65,2016-01-14,Entertainment,1180.14,withdrawal
257,,4,,44.44,2016-01-14,Transfer from Account,3042.62,withdrawal
258,,2,Hungry Jacks,8.95,2016-01-14,Food,492.57,withdrawal
259,,9,,74.52,2016-01-14,Transfer from Account,6091.14,withdrawal
260,,8,Hungry Jacks,5.89,2016-01-15,Food,948.8,withdrawal
261,,2,EB Games,12.35,2016-01-16,Entertainment,480.22,withdrawal
262,,1,Woolworths,32.02,2016-01-17,Groceries,3593.7,withdrawal
263,,8,,73.47,2016-01-17,Uncategorised,875.33,withdrawal
264,,2,,83.43,2016-01-17,Uncategorised,396.79,withdrawal
265,,8,711,27.78,2016-01-19,Fuel,847.55,withdrawal
266,,5,Event Cinemas,62.27,2016-01-19,Entertainment,1117.87,withdrawal
267,,8,,96.65,2016-01-20,Transfer from Account,750.9,withdrawal
268,,6,Coles,51.66,2016-01-20,Fuel,6376.66,withdrawal
269,,5,Priceline Pharmacy,13.56,2016-01-22,Health,1104.31,withdrawal
270,,8,,51.6,2016-01-22,Uncategorised,699.3,withdrawal
271,,1,711,33.12,2016-01-23,Fuel,3560.58,withdrawal
272,,7,IGA,79.52,2016-01-23,Groceries,6088.31,withdrawal
273,,9,,68.57,2016-01-23,Income,6159.71,deposit
274,,9,Woolworths,44.25,2016-01-24,Groceries,6115.46,withdrawal
275,,2,KFC,69.07,2016-01-25,Food,327.72,withdrawal
276,,6,Chemist Warehouse,64.87,2016-01-25,Health,6311.79,withdrawal
277,,6,Lowes,98.27,2016-01-25,Shopping,6213.52,withdrawal
278,,3,711,12.05,2016-01-26,Fuel,332.85,withdrawal
279,,3,Aldi,1.93,2016-01-26,Groceries,330.92,withdrawal
280,,7,Aldi,68.42,2016-01-27,Groceries,6019.89,withdrawal
281,,1,711,98.61,2016-01-28,Fuel,3461.97,withdrawal
282,,2,Coles,83.87,2016-01-28,Fuel,243.85,withdrawal
283,,4,IGA,51.86,2016-01-28,Groceries,2990.76,withdrawal
284,,2,,94.79,2016-01-29,Transfer from Account,149.06,withdrawal
285,,7,,28.82,2016-01-29,Uncategorised,5991.07,withdrawal
286,,2,EB Games,78.16,2016-01-29,Entertainment,70.9,withdrawal
287,,9,Target,76.14,2016-01-30,Shopping,6039.32,withdrawal
288,,8,Kmart,42.37,2016-01-30,Shopping,656.93,withdrawal
289,,1,Chemist Warehouse,83.09,2016-01-31,Health,3378.88,withdrawal
290,,9,Kmart,63.53,2016-01-31,Shopping,5975.79,withdrawal
291,,8,,37.37,2016-01-31,Income,694.3,deposit
292,,8,Kmart,90.0,2016-02-01,Shopping,604.3,withdrawal
293,,2,Hungry Jacks,10.68,2016-02-01,Food,60.22,withdrawal
294,,3,,44.49,2016-02-03,Transfer to Account,375.41,deposit
295,,7,,98.58,2016-02-05,Uncategorised,5892.49,withdrawal
296,,6,,12.32,2016-02-05,Income,6225.84,deposit
297,,4,McDonalds,6.76,2016-02-05,Food,2984.0,withdrawal
298,,4,,51.11,2016-02-06,Transfer from Account,2932.89,withdrawal
299,,2,JBHiFi,19.18,2016-02-06,Entertainment,41.04,withdrawal
300,,5,Coles,34.33,2016-02-06,Fuel,1069.98,withdrawal
301,,6,JBHiFi,52.85,2016-02-08,Entertainment,6172.99,withdrawal
302,,8,Hungry Jacks,76.27,2016-02-08,Food,528.03,withdrawal
303,,8,Lowes,77.54,2016-02-08,Shopping,450.49,withdrawal
304,,7,Aldi,75.98,2016-02-10,Groceries,5816.51,withdrawal
305,,4,Red Rooster,92.56,2016-02-10,Food,2840.33,withdrawal
306,,3,,82.13,2016-02-11,Uncategorised,293.28,withdrawal
307,,9,,76.2,2016-02-11,Income,6051.99,deposit
308,,6,,57.91,2016-02-11,Uncategorised,6115.08,withdrawal
309,,1,Chemist Warehouse,55.9,2016-02-12,Health,3322.98,withdrawal
310,,7,Target,4.28,2016-02-14,Shopping,5812.23,withdrawal
311,,1,,36.38,2016-02-14,Uncategorised,3286.6,withdrawal
312,,5,,47.17,2016-02-14,Uncategorised,1022.81,withdrawal
313,,5,Target,55.41,2016-02-15,Shopping,967.4,withdrawal
314,,8,,7.3,2016-02-15,Transfer from Account,443.19,withdrawal
315,,8,,9.56,2016-02-15,Transfer from Account,433.63,withdrawal
316,,9,Aldi,81.42,2016-02-15,Groceries,5970.57,withdrawal
317,,6,Chemist Warehouse,69.09,2016-02-17,Health,6045.99,withdrawal
318,,6,,47.17,2016-02-17,Uncategorised,5998.82,withdrawal
319,,8,McDonalds,5.47,2016-02-18,Food,428.16,withdrawal
320,,2,KFC,3.65,2016-02-19,Food,37.39,withdrawal
321,,1,Red Rooster,4.46,2016-02-20,Food,3282.14,withdrawal
322,,1,,58.74,2016-02-20,Transfer from Account,3223.4,withdrawal
323,,4,Chemist Warehouse,38.5,2016-02-20,Health,2801.83,withdrawal
324,,5,,4.54,2016-02-20,Transfer from Account,962.86,withdrawal
325,,5,,83.06,2016-02-20,Transfer to Account,1045.92,deposit
326,,8,,78.44,2016-02-21,Income,506.6,deposit
327,,8,Caltex,61.63,2016-02-22,Fuel,444.97,withdrawal
328,,9,,61.18,2016-02-22,Income,6031.75,deposit
329,,9,,72.06,2016-02-24,Income,6103.81,deposit
330,,7,,66.85,2016-02-24,Uncategorised,5745.38,withdrawal
331,,7,Hungry Jacks,54.13,2016-02-25,Food,5691.25,withdrawal
332,,1,McDonalds,47.04,2016-02-25,Food,3176.36,withdrawal
333,,7,EB Games,42.15,2016-02-26,Entertainment,5649.1,withdrawal
334,,4,Big W,55.46,2016-02-26,Shopping,2746.37,withdrawal
335,,9,Chemist Warehouse,98.87,2016-02-26,Health,6004.94,withdrawal
336,,8,,9.04,2016-02-26,Income,454.01,deposit
337,,3,,67.02,2016-02-27,Transfer from Account,226.26,withdrawal
338,,7,,58.46,2016-02-28,Transfer to Account,5707.56,deposit
339,,5,Myer,82.82,2016-02-28,Shopping,963.1,withdrawal
340,,7,,28.85,2016-02-28,Transfer to Account,5736.41,deposit
341,,9,,67.32,2016-02-29,Transfer to Account,6072.26,deposit
342,,1,,16.6,2016-02-29,Transfer to Account,3192.96,deposit
343,,8,Myer,29.11,2016-02-29,Shopping,424.9,withdrawal
344,,8,Target,27.8,2016-02-29,Shopping,397.1,withdrawal
345,,4,EB Games,22.77,2016-03-01,Entertainment,2723.6,withdrawal
346,,6,Red Rooster,70.72,2016-03-01,Food,5928.1,withdrawal
347,,7,,69.28,2016-03-01,Uncategorised,5667.13,withdrawal
348,,9,,56.76,2016-03-02,Uncategorised,6015.5,withdrawal
349,,9,KFC,36.58,2016-03-03,Food,5978.92,withdrawal
350,,4,IGA,57.42,2016-03-04,Groceries,2666.18,withdrawal
351,,9,Hungry Jacks,89.32,2016-03-05,Food,5889.6,withdrawal
352,,5,Lowes,50.92,2016-03-05,Shopping,912.18,withdrawal
353,,7,Chemist Warehouse,92.86,2016-03-05,Health,5574.27,withdrawal
354,,6,Big W,16.8,2016-03-05,Shopping,5911.3,withdrawal
355,,8,,49.74,2016-03-06,Transfer to Account,446.84,deposit
356,,7,Shell,15.71,2016-03-06,Fuel,5558.56,withdrawal
357,,5,,55.59,2016-03-06,Uncategorised,856.59,withdrawal
358,,7,,36.04,2016-03-06,Transfer to Account,5594.6,deposit
359,,8,,6.38,2016-03-08,Uncategorised,440.46,withdrawal
360,,8,Target,48.03,2016-03-09,Shopping,392.43,withdrawal
361,,4,Event Cinemas,57.66,2016-03-09,Entertainment,2608.52,withdrawal
362,,5,EB Games,49.77,2016-03-11,Entertainment,806.82,withdrawal
363,,7,,94.66,2016-03-12,Income,5689.26,deposit
364,,8,Priceline Pharmacy,2.35,2016-03-12,Health,390.08,withdrawal
365,,10,Red Rooster,95.08,2016-03-13,Food,5498.28,withdrawal
366,,7,,45.68,2016-03-13,Transfer to Account,5734.94,deposit
367,,8,EB Games,51.92,2016-03-13,Entertainment,338.16,withdrawal
368,,5,Chemist Warehouse,86.48,2016-03-14,Health,720.34,withdrawal
369,,11,,63.67,2016-03-14,Income,7655.89,deposit
370,,9,McDonalds,87.71,2016-03-14,Food,5801.89,withdrawal
371,,7,Woolworths,25.91,2016-03-14,Groceries,5709.03,withdrawal
372,,9,,48.9,2016-03-14,Uncategorised,5752.99,withdrawal
373,,5,,9.3,2016-03-14,Transfer from Account,711.04,withdrawal
374,,9,,90.02,2016-03-15,Uncategorised,5662.97,withdrawal
375,,6,Shell,59.94,2016-03-15,Fuel,5851.36,withdrawal
376,,5,Event Cinemas,84.1,2016-03-15,Entertainment,626.94,withdrawal
377,,7,Coles,22.71,2016-03-15,Groceries,5686.32,withdrawal
378,,6,,98.76,2016-03-16,Transfer to Account,5950.12,deposit
379,,10,Caltex,81.17,2016-03-16,Fuel,5417.11,withdrawal
380,,11,,1.65,2016-03-16,Transfer from Account,7654.24,withdrawal
381,,10,EB Games,34.92,2016-03-16,Entertainment,5382.19,withdrawal
382,,7,Myer,36.1,2016-03-16,Shopping,5650.22,withdrawal
383,,4,,66.32,2016-03-17,Transfer to Account,2674.84,deposit
384,,8,McDonalds,39.83,2016-03-17,Food,298.33,withdrawal
385,,11,,7.64,2016-03-19,Income,7661.88,deposit
386,,10,Target,56.4,2016-03-20,Shopping,5325.79,withdrawal
387,,5,,55.72,2016-03-20,Uncategorised,571.22,withdrawal
388,,7,,91.75,2016-03-21,Transfer from Account,5558.47,withdrawal
389,,5,Red Rooster,68.08,2016-03-22,Food,503.14,withdrawal
390,,11,Shell,96.93,2016-03-22,Fuel,7564.95,withdrawal
